timestamp,ms_played,track_name,artist_name,album_name,track_uri
2012-04-26T04:00:05Z,207476,Good Girl,Carrie Underwood,Good Girl,spotify:track:2jgSexPzkIxLecTorGgjh6
2012-04-26T04:16:35Z,199942,Before He Cheats,Carrie Underwood,Some Hearts,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt
2012-04-26T04:20:30Z,234494,Cowboy Casanova,Carrie Underwood,Play On,spotify:track:41NSrKm33WLGX1xIJgU6Np
2012-04-26T04:24:16Z,226489,"Jesus, Take the Wheel",Carrie Underwood,Some Hearts,spotify:track:3lec3CzDPAxsZokPph5w87
2012-04-26T06:43:20Z,198836,What Makes You Beautiful,One Direction,Up All Night,spotify:track:03oZejWqXLbKhhM4iTgShq
2012-04-26T06:47:24Z,244102,Gotta Be You,One Direction,Up All Night,spotify:track:3UT493iwo6kvyL18zvAJE5
2012-04-26T06:50:41Z,197182,One Thing,One Direction,Up All Night,spotify:track:6tKW2g2So84pCTZXE0Furx
2012-04-26T06:54:31Z,228689,More Than This,One Direction,Up All Night,spotify:track:7pWzcvjSSXlGS0Cn790Nb7
2012-04-26T22:34:52Z,489696,Dog Days Are Over,Florence + The Machine,Lungs,spotify:track:1YLJVmuzeM2YSUkCCaTNUB
2012-04-27T00:12:24Z,245037,Titanium (feat. Sia),David Guetta,Nothing But The Beat,spotify:track:47Z5890IcjSed81ldeLgqc
2012-04-27T00:15:38Z,193462,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,spotify:track:6ol4ZSifr7r3Lb2a9L5ZAB
2012-04-27T00:19:40Z,207876,Feel So Close - Radio Edit,Calvin Harris,Feel So Close,spotify:track:718c1RAetOYLPnTq4KIZgT
2012-04-27T00:23:50Z,239209,Princess of China,Coldplay,Mylo Xyloto,spotify:track:4HXOBjwv2RnLpGG4xWOO6N
2012-04-27T00:28:56Z,226892,Strange Clouds - feat. Lil Wayne,B.o.B,Strange Clouds,spotify:track:4cgZ2dCVqZyMWo0zubW6Vb
2012-04-29T20:20:14Z,233684,Wild Ones (feat. Sia),Flo Rida,Wild Ones (feat. Sia),spotify:track:5Z7ygHQo02SUrFmcgpwsKW
2012-04-29T21:28:55Z,210809,Starships,Nicki Minaj,Starships,spotify:track:1LbhI0PgXF5kyJEE88xoUU
2012-04-29T21:36:18Z,221942,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),spotify:track:6D60klaHqbCl9ySc8VcRss
2012-04-30T19:53:13Z,238462,Clap Your Hands,Sia,Clap Your Hands,spotify:track:18cST7DK31Ab2rTH1POP6A
2012-04-30T19:57:49Z,274929,Breathe Me,Sia,Colour The Small One,spotify:track:6hrgeEo1WQOHVeF8QMv68S
2012-04-30T20:01:31Z,221316,I'm In Here,Sia,We Are Born,spotify:track:3R2FxfQsTs5Ei2twCe339s
2012-04-30T20:05:17Z,225761,I Love It,Hilltop Hoods,I Love It,spotify:track:3fvbWmO63eJANy00ijj3cj
2012-04-30T20:09:16Z,218276,The Fight,Sia,We Are Born,spotify:track:5Ok3uOPbafn05DRISYECGv
2012-05-01T22:55:29Z,191862,Cold Shoulder,Adele,19,spotify:track:1fR7LremrgO8KLE5TSyRV1
2012-05-01T22:59:53Z,258502,Best For Last,Adele,19,spotify:track:2Kq2DMXqAIfDmVPgWefqa3
2012-05-01T23:03:58Z,220502,Daydreamer,Adele,19,spotify:track:21CFGfTfSDwiB7owGXOuuH
2012-05-01T23:22:43Z,226222,Notebook,Chrisette Michele,Epiphany,spotify:track:7B3KRwGUQlL7X3uWW1JVF5
2012-05-01T23:26:05Z,202102,What You Do,Chrisette Michele,Epiphany,spotify:track:1yl72SSJSsjXJRX0CFRIQe
2012-05-01T23:30:15Z,249262,Blame It On Me,Chrisette Michele,Epiphany,spotify:track:7uKdORmxtPiZV9tOwGmh0y
2012-05-01T23:34:31Z,220822,All I Ever Think About,Chrisette Michele,Epiphany,spotify:track:4KWRdYADKz1Fo1eLXWuMLi
2012-05-01T23:38:05Z,213396,Playin' Our Song,Chrisette Michele,Epiphany,spotify:track:3cwmZWLrnA1wSepwp50nfs
2012-05-01T23:41:44Z,218996,Another One,Chrisette Michele,Epiphany,spotify:track:6PBH9M1CNj57WFrpGJUum0
2012-05-01T23:45:31Z,227196,On My Own,Chrisette Michele,Epiphany,spotify:track:2weUDacw2xaWV8sDwCnAk9
2012-05-01T23:50:18Z,255302,Fragile,Chrisette Michele,Epiphany,spotify:track:7GYFjRo8Ftoe3DY1vEAVme
2012-05-01T23:54:41Z,262756,Mr. Right,Chrisette Michele,Epiphany,spotify:track:1KsnLSKOnV3AhmAVzGxqF9
2012-05-01T23:58:27Z,225436,Porcelain Doll,Chrisette Michele,Epiphany,spotify:track:3hnvguIwPXmBM5nNcTgAv1
2012-05-02T00:02:48Z,239622,I'm Okay,Chrisette Michele,Epiphany,spotify:track:5CcH3qjnouMGmrK5uInG4i
2012-05-02T01:28:12Z,265133,Little Bit,Lykke Li,Youth Novels,spotify:track:0Ps4Eh6SQjeLnubbCsQTDD
2012-05-02T01:31:33Z,201783,I Follow Rivers,Lykke Li,Wounded Rhymes,spotify:track:336ZYcU6poBWi3s8yzRcAD
2012-05-02T01:37:43Z,202892,Jerome,Lykke Li,Wounded Rhymes,spotify:track:3NWx96WfhSdWNjyqcQ4Zqb
2012-05-02T01:42:19Z,226676,Fidelity,Regina Spektor,Begin to Hope,spotify:track:6GskIhdM6TN6EkPgeSjVfW
2012-05-02T01:53:33Z,234169,Better in Time,Leona Lewis,Spirit,spotify:track:2iXBZ32Fz5VDCLeE0JIdX5
2012-05-02T01:57:36Z,241822,Happy,Leona Lewis,Echo,spotify:track:3SvipHGXjchT1ioKt7LwTr
2012-05-02T03:38:49Z,190272,Outta My Head,Leona Lewis,Echo,spotify:track:4fen2tyMhGuQrxMgTXW4wE
2012-05-02T03:43:00Z,242996,Broken,Leona Lewis,Echo,spotify:track:2kVgGh5y8bQJ6ew5Fv8kdZ
2012-05-02T03:47:09Z,216981,Lost Then Found (feat. OneRepublic),Leona Lewis,Echo,spotify:track:5SgZodMZUZHULorQQGAruC
2012-05-02T03:51:34Z,262289,Bleeding Love,Leona Lewis,Bleeding Love,spotify:track:7LLouD7gdDYmmar1bfaF8V
2012-05-02T05:06:45Z,248729,Hit 'Em Up Style (Oops!),Blu Cantrell,Totally Hits 2001,spotify:track:5k3sanOGourYTSWNvphUnz
2012-05-03T22:13:12Z,215393,Electric Twist,A Fine Frenzy,Bomb In A Birdcage,spotify:track:2jQ7ZztDfmt4qeW0tOMIqY
2012-05-03T22:49:13Z,206112,Stood Up,A Fine Frenzy,Bomb In A Birdcage,spotify:track:5w0ZwBc0a5s3dNdenCh9wp
2012-05-05T08:15:26Z,230866,Eet,Regina Spektor,Far,spotify:track:0BEI7YlwJ7GmTFtq4NSQt5
2012-05-05T16:13:15Z,201840,Better,Regina Spektor,Begin to Hope,spotify:track:3x8VM1G75erEHyrlrgwLme
2012-05-08T18:51:20Z,202268,Melt My Heart To Stone,Adele,19,spotify:track:7mEpc7ZW9Zegin6tkgSTMd
2012-05-08T19:13:38Z,210506,Chasing Pavements,Adele,19,spotify:track:6XgusmxBJ6p3qqQuHpFqGP
2012-05-12T18:50:31Z,277040,Some Nights,fun.,Some Nights,spotify:track:6t6oULCRS6hnI7rm0h5gwl
2012-05-12T18:55:44Z,277386,Take Care,Drake,Take Care,spotify:track:4wTMBYRE6xVTIUQ6fEudsJ
2012-05-13T03:58:00Z,226720,The Night Before (Life Goes On),Carrie Underwood,Some Hearts,spotify:track:1CXZNbojIVKJNBCd4jgr8c
2012-06-10T18:53:21Z,249893,Lessons Learned,Carrie Underwood,Some Hearts,spotify:track:0LviM04IykLs7JEkrZV9Xm
2012-06-10T19:00:47Z,246626,Starts with Goodbye,Carrie Underwood,Some Hearts,spotify:track:79FoDauqgqdVBUg66rsHJR
2012-06-10T19:04:46Z,238906,I Just Can't Live a Lie,Carrie Underwood,Some Hearts,spotify:track:4OsGGGnGDfO1KmUAI2wD71
2012-06-10T19:09:21Z,233106,We're Young and Beautiful,Carrie Underwood,Some Hearts,spotify:track:6d0AZlRfB9wI3dQ5vEJJ5B
2012-06-10T19:12:56Z,214853,That's Where It Is,Carrie Underwood,Some Hearts,spotify:track:4RrSguKr8t7yxUVNkq0biv
2012-06-10T19:16:43Z,227346,Whenever You Remember,Carrie Underwood,Some Hearts,spotify:track:5cwt3fRFqMCuxP5mhA1N7k
2012-06-10T19:20:04Z,199786,I Ain't In Checotah Anymore,Carrie Underwood,Some Hearts,spotify:track:2NvXBpGZDjuqKApdwULI3R
2012-06-10T19:24:15Z,225280,Inside Your Heaven (Bonus Track),Carrie Underwood,Some Hearts,spotify:track:3w8xlZi49MQuQkyyB5bi5e
